//Contemporary Chinese For Beginers/Lesson 1 What S Your Surname
您	Nín	you (honorific form)
女	Nǚ	female, woman
朋友	Péngyǒu	friend
请	Qǐng	please
进	Jìn	enter
坐	Zuò	sit
谢谢	Xièxie	thank
喝	Hē	drink
茶	Chá	tea
哪儿 (Nǎlǐ 哪里 )	Nǎ'er	where
学院	Xuéyuàn	college
怎么样	Zěnme yàng	how
大	Dà	big
漂亮	Piàoliang	beautiful
喜欢	Xǐhuan	to like
那	Nà	that
男	Nán	male, man, boy
小	Xiǎo	small, little
//Contemporary Chinese For Beginers/Lesson 3 How Many People Are There In You
地方	Dìfāng	place
这儿 (Zhèlǐ 这里)	Zhèr	here
家	Jiā	family, home
有	Yǒu	have
几	Jǐ	how many (little numbers)
多少	Duōshǎo	how many, how much
爸爸	Bàba	father
妈妈	Māma	mother
和	Hé	and
太太	Tàitai	Mrs. wife
先生	Xiānshēng	Mr. husband
孩子	Háizi	child
儿子	Érzi	son
女儿	Nǚ'ér	daugther
多大	Duō dà	how old
两	Liǎng	two (when counting)
岁	Suì	years old
可爱	Kě'ài	cute
学校	Xuéxiào	school
学生	Xuéshēng	student
想	Xiǎng	to think, to want to
大概	Dàgài	probably, about, approximately
万	Wàn	ten thousand
没有	Méiyǒu	not have
多	Duō	many, much
少	Shǎo	few
千	Qiān	thousand
去	Qù	go, remove, leave
为什么	Wèi shéme	why
为	Wèi	for
老板	Lǎobǎn	boss
让	Ràng	let, allow
那儿 (Nàlǐ 那里)	Nàr	there
百	Bǎi	hundred
因为	Yīnwèi	because
//Contemporary Chinese For Beginers/Lesson 4 This Map Is In English
地图	Dì tú	map
中文	Zhōngwén	Chinese language
英文	Yīngwén	English language
看	Kàn	look
行	Xíng	OK, all right
要	Yào	to want something, be going to do something
给	Gěi	to give
干	Gàn	do, work, offend, be concerned with, lay, dry
是的	Shì de	yes
玩儿	Wánr	play, do something for pleasure
知道	Zhīdào	know
比较	Bǐjiào	comperatively, fairly
真	Zhēn	really
有意思	Yǒu yìsi	interesting
意思	Yìsi	meaning
龙	Lóng	dragon
山	Shān	mountain
词典	Cídiǎn	dictionary
谁	Shéi, Shuí	who
对不起	Duìbùqǐ	excuse me
请问	Qǐngwèn	excuse me (used to begin a question)
问	Wèn	ask
对	Duì	correct, yes
非常	Fēicháng	very, very much
有用	Yǒuyòng	useful
能	Néng	can, be able to
用	Yòng	use
当然	Dāngrán	of course
书	Shū	book
笔记本 (Běnzi 本子)	Bǐjìběn	notebook
笔	Bǐ	pen
教室	Jiàoshì	classroom
上课	Shàngkè	attend class
//Contemporary Chinese For Beginers/Lesson 5 May I Try Them On
小姐   Měinǚ 美女	Xiǎojiě	Miss
会	Huì	can, have the skill (learned)
一点儿	Yīdiǎnr	a little
先生	Xiānshēng	Mr
买	Mǎi	to buy
衬衫	Chènshān	shirt
白	Bái	white
钱	Qián	money
太	Tài	excessively, too, more than enough
太...了	Tài ... le	too
不太	Bùtài	not too
贵	Guì	expensive
红	Hóng	red
便宜	Piányi	cheap
还	Hái	as well, in addition
裤子	Kùzi	trousers
试	Shì	test, try
来	Lái	come, take, bring
饭店	Fàndiàn	restaurant
最	Zuì	the most
好吃	Hǎochī	delicious
菜	Cài	dish
糖	Táng	sugar
醋	Cù	vinegar
鱼	Yú	fish
吃	Chī	eat
辣	Là	spicy
酸	Suān	sour
汤	Tāng	soup
牛肉	Niúròu	beef
牛	Niú	cow, cattle
肉	Ròu	meat
红烧	Hóngshāo	cooked in soy sauce
米饭	Mǐfàn	steamed rice
饺子 Shuǐ jiǎo 水饺	Jiǎozi	dumplings
瓶	Píng	bottle
啤酒	Píjiǔ	beer
等	Děng	wait
东西	Dōngxi	thing, stuff
买东西	Mǎi dōngxi	shopping
商店	Shāngdiàn	shop
卖	Mài	sell
衣服	Yīfú	clothes
穿	Chuān	wear, put on
颜色	Yánsè	colour
蓝色	Lán sè	blue
绿色	Lǜ sè	green
黄色	Huáng sè	yellow
黑色	Hēi sè	black
鸡	Jī	chicken
猪	Zhū	pig
甜	Tián	sweet
咸	Xián	salty
苦	Kǔ	bitter
//Contemporary Chinese For Beginers/Lesson 6 What Are You Going To Do Tomorro
打球	Dǎqiú	play (ball sports with hands)
明天	Míngtiān	tomorrow
半	Bàn	half
白天	Báitiān	daytime
现在	Xiànzài	now
晚上	Wǎnshàng	evening
功课, Zuòyè 作业	Gōngkè	homework
停在这里	Tíng zài zhèlǐ	stop here
今天	Jīntiān	today
见面	Jiànmiàn	meet (eachother)
咖啡馆	Kāfēi guǎn	coffee shop
电视	Diànshì	TV
早上	Zǎoshang	early morning
球	Qiú	ball
打算	Dǎsuàn	plan
家里	Jiālǐ	at home
对不起	Duìbùqǐ	sorry, excuse me
打工	Dǎgōng	work (as casual worker)
位	Wèi	mesure word for people (polite)
跟 ... Yīqǐ 一起	Gēn	together ... with
下午	Xiàwǔ	afternoon
再见	Zàijiàn	good bye
空儿	Kòngr	spare time, free time
没关系	Méi guānxì	no problem, it's ok
跟	Gēn	with
休息	Xiūxí	to rest
约会	Yuēhuì	date, appointment, engagement
里	Lǐ	in, inside
中午	Zhōngwǔ	noon, midday
分	Fēn	minute
刻	Kè	quarter (of an hour)
时候	Shíhou	time
做	Zuò	do
星期六	Xīngqíliù	Saturday
点	Diǎn	o'clock
忙	Máng	busy
上午	Shàngwǔ	late morning
什么时候	Shénme shíhou	what time, when
星期	Xīngqí	week
事儿	Shìr	matter, affair, thing, business
//Contemporary Chinese For Beginers/June Additional Words
湿	Shī	wet
干	Gàn	dry
污染	Wūrǎn	pollution
//Contemporary Chinese For Beginers/Lesson 7 When Will You Come Back
牛仔裤	niú zǎi kù	jeans
每	měi	each, every (person)
再	zài	again
以后	yǐ hòu	after, later
去年	qù nián	last year
头发	tóu fa	hair
刚	gāng	just, barely
放心	fàng xīn	to feel relieved, to feel reassured
号 (rì 日)	hào	date, day of a month
出	chū	come / go out
上	shàng	on top, upon, above, upper, before
可是	kě shì	but
别	bié	do not, must not
中旬	zhōng xún	middle third of a month
下旬	xià xún	last third of the month
前年	qián nián	the year before last
出去	chū qù	to go out
月	yuè	month, moon
眼镜	yǎn jìng	glasses
今年	jīn nián	this year
进来	jìn lái	to come in
不要	bù yào	don't!, must not
带	dài	to wear (accessories)
或者	huò zhě	or, possibly
帮助	bāng zhù	help
有点儿	yǒu diǎnr	a little (too), slightly
瘦	shòu	thin, to loose weight
上旬	shàng xún	first third of a month
回	huí	be back (to a place)
进	jìn	enter
高	gāo	tall, high
过	guò	to cross, to go over
长	cháng	long
一会儿	yī huì'r	a short while
矮	ǎi	short (in height)
胖	pàng	fat, plump
旅行	lǚ xíng	travel
穿	chuān	to wear (clothes)
昨天	zuó tiān	yesterday
后年	hòu nián	the year after next
不用	bù yòng	need not
放假	fàng jià	take a vacation
明年	míng nián	next year
找	zhǎo	to try to find, to look for
担心	dān xīn	anxious, worried
以前	yǐ qián	before, ago
眼睛	yǎn jing	eye
短	duǎn	short (in lenght), brief, to lack
回来	huí lai	to come back, to return
下	xià	down, downwards, below, under, later
//Contemporary Chinese For Beginers/Lesson 8 Is There A Bank Nearby
行人	xíng rén	pedestrian
车	chē	vehicle
拐	guǎi	turn
告诉	gào su	to tell, to inform, to let know
自行车	zì xíng chē	bicycle
东	dōng	east
西	xī	west
汽车站	qì chē zhàn	bus stop
走	zǒu	to walk
汽车	qì chē	car, automobile
下面	xià mian	below, under
面	miàn	face, side, surface
客气	kè qi	polite, modest
换	huàn	to change, to exchange
远	yuǎn	far
边	biān	side, edge, margin, border
出租车	chū zū chē	taxi
往	wǎng	to go (in a direction), to, towards
骑	qí	to ride (an animal or bike)
外边	wài bian	outside
旁边	páng biān	beside
邮局	yóu jú	post office
走	zǒu	to walk, to go, to leave
开	kāi	to drive, to operate (vehicle)
上边	shàng bian	the top, above, overhead
地铁	dì tiě	subway, metro
右	yòu	right
上面	shàng mian	on top of, above-mentioned
公共汽车	gōng gòng qì chē	bus
从	cóng	from
里面	lǐ miàn	inside, interior
前 / qián miàn 前面 / qián bian 前边	qián	front, forward, ahead
左面	zuǒ miàn	left side
上车	shàng chē	to get on or into (a bus, train, car etc)
不客气	bù kè qi	you're welcome
然后	rán hòu	then (afterwards)
南	nán	south
门口	mén kǒu	doorway, gate
对面	duì miàn	opposite
站	zhàn	station, stop
火车	huǒ chē	train
飞机	fēi jī	airplane
到	dào	to (a place), until (a time), to arrive
马路	mǎ lù	street, road
下车	xià chē	to get off or out of (a bus, train, car etc)
后面	hòu mian	behind
中间	zhōng jiān	between, middle
近	jìn	near, close to
路	lù	road, path, way
就	jiù	just (emphasis), at once, right away, only
怎么	zěn me	how
银行	yín háng	bank
附近	fù jìn	nearby
北	běi	north
船	chuán	a boat, ship
市中心	shì zhōng xīn	downtown, city centre
离	lí	away from
//Contemporary Chinese For Beginers/Lesson 10 She Has Gone To The Hospital
焦急	Jiāojí	worry, to be anxious
請客	Qǐngkè	to treat, to entertain guests, invite to dinner
生鱼片	Shēng yú piàn	sashimi (raw fish slices)
生	Shēng	raw, uncooked
医院	Yīyuàn	hospital
新鲜	Xīnxiān	fresh
餐厅	Cāntīng	dining hall / room
身体	Shēntǐ	body, health
起床	Qǐchuáng	to get up
晚饭	Wǎnfàn	dinner, supper
卫生间	Wèishēngjiān	bathroom
天 / Rì 日	Tiān	day
住	Zhù	to live
鱼片	Yú piàn	slices of fish
宿舍	Sùshè	dormitory
错	Cuò	wrong
脏	Zàng	dirty
冰	Bīng	iced
午饭	Wǔfàn	lunch
肯定	Kěndìng	sure, surely, definitely, certain
已经	Yǐjīng	already
洗手间	Xǐshǒujiān	washroom
床	Chuáng	bed
医生	Yīshēng	doctor
药	Yào	medicine
迟到	Chídào	to be late
病	Bìng	to be ill, sickness
大家	Dàjiā	everybody
可能	Kěnéng	maybe, possible
食堂	Shítáng	dining hall, cafeteria
舒服	Shūfú	comfortable
片	Piàn	measure word for something flat and thin - slice, piece
还	Hái	still, yet
打針	Dǎzhēn	to give or to get an injection
干净	Gānjìng	clean
面包	Miànbāo	bread
睡觉	Shuìjiào	to sleep, go to bed
没(有)	Méi (Yǒu)	not
早饭	Zǎofàn	breakfast
起	Qǐ	up
完	Wán	finish(ed)
肚子	Dùzi	stomach, belly
大夫	Dàfū	doctor, physician
说完	Shuō wán	to (be) finish(ed) saying
厕所	Cèsuǒ	toilet
疼	Téng	to ache
不过	Bùguò	but, however, only, no more than
昨天	Zuótiān	yesterday
杯	Bēi	cup of.., glass of..
牛奶	Niúnǎi	milk (cow's)
//Contemporary Chinese For Beginers/Lesson 10 Body Parts
下巴	Xiàbā	chin
胸	Xiōng	chest
肩膀	Jiānbǎng	shoulder
鼻子	Bízi	nose
大腿	Dàtuǐ	thigh
手臂	Shǒubì	arm
肚子	Dùzi	abdomen
嘴巴	Zuǐbā	mouth
牙齿	Yáchǐ	teeth
腰	Yāo	waist
眼睛	Yǎnjīng	eye
小腿	Xiáotuǐ	calf
屁股	Pìgu	buttocks
乳房	Rǔfáng	breast
舌头	Shétou	tongue
头	Tóu	head
头发	Tóufǎ	hair
眉毛	Méimáo	eyebrows
脸	Liǎn	face
脚	Jiǎo	feet
耳朵	Ěrduǒ	ear
脖子	Bózi	neck
背	Bèi	back
手	Shǒu	hand
//Contemporary Chinese For Beginers/Lesson 9 I Ve Raised Birds Before
宠物	Chǒngwù	pet
遛狗	Liú gǒu	to walk the dog
农村	Nóngcūn	countryside
照相 / Pāizhào 拍照	Zhàoxiàng	to take photos
照相机	Zhàoxiàngjī	camera
胶卷	Jiāojuǎn	film (for taking photos or making movies)
旅游	Lǚyóu	to tour
如果	Rúguǒ	if
别人	Biérén	other people
所以	Suǒyǐ	so, therefore
长城	Chángchéng	Great Wall
故宫	Gùgōng	Forbidden City
颐和园	Yíhéyuán	Summer Palace
//Contemporary Chinese For Beginers/Lesson 11 When Did They Come Part 1 Extra
新	Xīn	new
借	Jiè	to borrow, to lend
房间	Fángjiān	room
拿	Ná	to hold, take, bring
旧	Jiù	old, second hand
老	Lǎo	old
少	Shǎo	less, little, few
多	Duō	much
短	Duǎn	short (lenght)
矮	ǎi	short (height)
高	Gāo	tall, high
低	Dī	low (price)
贵	Guì	expensive
便宜	Piányí	cheap
回	Huí	to return, come back
还	Huán	to return, give back
卧室	Wòshì	bedroom
租房子	Zū fángzi	rent a house
餐厅	cān tīng	dining room
卫生间	Wèi shēng jiān	bathroom
客厅	Kè tīng	living room
厨房	Chú fáng	kitchen
历史	Lìshǐ	history
文化	Wén huà	culture
经济	Jīng jì	economy
政治	Zhèng zhì	politics
传统	Chuán tǒng	tradition
风俗	Fēng sú	custom
有兴趣 / 对... 感兴趣	Yǒu xìngqù / Duì ... gǎn xìngqù	be interested in
长	cháng	long
少	shào	young
科学	kē xué	science
高科技	gāo kē jì	high tech (nology)
博物院	bó wù yuàn	museum
图书馆	tú shū guǎn	library
美术馆	měi shù guǎn	art gallery
体育馆	tǐ yù guǎn	gym studio
习惯	xí guàn	habit
行为	xíng wéi	behaviour
别摸	Bié mō	don't touch
父母亲	fù mǔ qìng	parents
父亲	fù qīn	father
母亲	mǔ qīn	mother
先	xiān	first, early, in advance
首先	shǒu xiān	first of all, in the first place
然后	rán hòu	then, after
再	zài	again, once more
最后	zuì hòu	last, finally
火车站	huǒ chē zhàn	train station
骑	qí	to ride (animal or bike)
开车	kāi chē	to drive a car
坐	zuò	to take (a bus, train)
兴趣	xìng qù	interest, hobby
中国通	Zhōng guó tōng	an expert on China
用	yòng	to use
还	hái	still
对了	duì le	correct! oh, by the way, ...
能	néng	to be able to
到	dào	to (a place), until (a time)
出去	chū qù	to go out
来	lái	to come, to arrive
从	cóng	from, via, passing through
过来	guò lái	to come over
以前	yǐ qián	before, formerly, previous
已经	yǐ jīng	already
//Contemporary Chinese For Beginers/Lesson 11 When Did They Come Part 2 Extra
不错	bù cuò	not bad, pretty good
课	kè	class, lesson
陪	péi	to accompany
上课	shàng kè	to go to class, to attend class
加班	jiā bān	to work overtime
罚款	fá kuǎn	(impose a) fine, penalty
香港	Xiāng gǎng	Hong Kong
说	shuō	to speak, to say
规定	guī dìng	rules, to regulate, to set
项链	xiàng liàn	necklace
可能	kě néng	might (happen), possible, probable
商人	shāng rén	businessman
已经	yǐ jīng	already
下课	xià kè	to finish class, to get out of class
以后	yǐ hòu	after, later
地铁	dì tiě	metro
还	huán	to return, to pay back
地	dì	earth, ground, field, place, land
中秋节	Zhōng qiū jié	Mid-Autumn Festival
恐怕	kǒng pà	fear, to dread, I'm afraid that...
还	hái	still, yet
电影	diàn yǐng	film, movie
应该	yīng gāi	should, ought to
一定	yī dìng	surely, certainly, must
图书馆	tú shū guǎn	library
听写	tīng xiě	dictation
国家	guó jiā	country, nation, state
生意	shēng yi	business
推	tuī	to push
上班	shàng bān	to go to work
参观	cān guān	to look around, to tour, to visit
快要	kuài yào	almost, nearly
听	tīng	to listen
读	dú	to read, to study
那么	nà me	like that, in that way
看	kàn	to see, to look at, to read, to watch
从	cóng	from
这麽	zhè me	this way, like this
真	zhēn	really, truly, indeed
地域	dì yù	area, district, region
过期	guò qī	to be overdue, to exceed the time limit, to expire (as in expiration date)
宜居	yí jū	good for living
得	děi	to have to
如果	rú guǒ	if, in case
拉	lā	to pull
下班	xià bān	to finish work
借	jiè	to lend, to borrow
厚	hòu	thick
快	kuài	fast, quick
腿	tuǐ	leg
写	xiě	to write
也许	yě xǔ	perhaps, maybe
利害	lì hai	severe, fierce, tought, formidable
宜家	Yí jiā	IKEA
地图	dì tú	map
算了	suàn le	let it be, let it pass, forget about it
老家	lǎo jiā	home town, place of origin
款	kuǎn	a sum of money
城市	chéng shì	city, town
罚	fá	to punish, to penalize
